Date,Price,Open,High,Low,Change %,diff_1,label
2016-12-02,1.0673,1.0663,1.0692,1.0625,0.10%,0.0010999999999998789,0.0
2016-12-05,1.0764,1.0674,1.0798,1.0505,0.85%,0.009100000000000108,2.0
2016-12-06,1.0719,1.0764,1.0787,1.0698,-0.42%,-0.0044999999999999485,1.0
2016-12-07,1.0753,1.0721,1.077,1.0709,0.32%,0.0033999999999998476,2.0
2016-12-08,1.0615,1.0753,1.0873,1.0596,-1.28%,-0.013799999999999812,1.0
2016-12-09,1.0562,1.0618,1.0632,1.0531,-0.50%,-0.005300000000000082,1.0
2016-12-12,1.0635,1.0551,1.0652,1.0524,0.69%,0.007299999999999862,2.0
2016-12-13,1.0627,1.0635,1.0668,1.0603,-0.08%,-0.0007999999999999119,0.0
2016-12-14,1.0537,1.0627,1.0671,1.0495,-0.85%,-0.008999999999999897,1.0
2016-12-15,1.0414,1.0536,1.0544,1.0366,-1.17%,-0.012299999999999978,1.0
2016-12-16,1.0451,1.0419,1.0477,1.0402,0.36%,0.0036999999999998145,2.0
2016-12-19,1.0402,1.0442,1.048,1.0391,-0.47%,-0.004899999999999904,1.0
2016-12-20,1.0387,1.0405,1.0419,1.0352,-0.14%,-0.0015000000000000568,0.0
2016-12-21,1.0425,1.0389,1.0452,1.0381,0.37%,0.0038000000000000256,2.0
2016-12-22,1.0437,1.0423,1.0501,1.0421,0.12%,0.0012000000000000899,0.0
2016-12-23,1.0457,1.0438,1.0469,1.0427,0.19%,0.0020000000000000018,2.0
2016-12-26,1.0456,1.0454,1.0473,1.0439,-0.01%,-9.999999999998899e-05,0.0
2016-12-27,1.0457,1.0453,1.0465,1.0431,0.01%,9.999999999998899e-05,0.0
2016-12-28,1.0412,1.0459,1.0484,1.0373,-0.43%,-0.0045000000000001705,1.0
2016-12-29,1.0492,1.0417,1.0494,1.0406,0.77%,0.008000000000000007,2.0
2016-12-30,1.0516,1.0492,1.0654,1.0482,0.23%,0.0024000000000001798,2.0
2017-01-02,1.0459,1.0532,1.0534,1.0448,-0.54%,-0.005700000000000038,1.0
2017-01-03,1.0406,1.0455,1.0492,1.0341,-0.51%,-0.005300000000000082,1.0
2017-01-04,1.0488,1.0405,1.0501,1.0389,0.79%,0.008199999999999985,2.0
2017-01-05,1.0607,1.0493,1.0619,1.0482,1.13%,0.011900000000000022,2.0
2017-01-06,1.0533,1.0606,1.0624,1.0523,-0.70%,-0.007400000000000073,1.0
2017-01-09,1.0574,1.0539,1.0584,1.051,0.39%,0.0040999999999999925,2.0
2017-01-10,1.0554,1.0573,1.0628,1.0551,-0.19%,-0.0020000000000000018,1.0
2017-01-11,1.0582,1.0556,1.0624,1.0454,0.27%,0.0028000000000001357,2.0
2017-01-12,1.0613,1.0583,1.0687,1.0573,0.29%,0.0030999999999998806,2.0
2017-01-13,1.0644,1.0612,1.0674,1.0598,0.29%,0.0031000000000001027,2.0
2017-01-16,1.0603,1.0618,1.0638,1.058,-0.39%,-0.0040999999999999925,1.0
2017-01-17,1.0713,1.06,1.072,1.0595,1.04%,0.010999999999999899,2.0
